2017.11.18_04:19:09,15.92,20.84,26.05,3.62,3.07,5.38,18.10,1.40,986.25,15.61,19.32,26.17,6.83,7.45,7.71,18.81,53.42,993.07,75.71,P; Tset = 10.00; Ttrue = NaN; T1 = 20.85; RH1 = 64.61; T2 = 20.63; RH2 = 64.81
2017.11.18_04:20:09,15.42,20.64,25.73,3.21,3.17,5.46,18.72,1.46,1020.25,16.35,21.51,27.45,6.92,8.03,8.12,19.45,55.23,1027.33,75.40,P; Tset = 10.00; Ttrue = NaN; T1 = 21.51; RH1 = 66.73; T2 = 21.30; RH2 = 66.90
2017.11.18_04:21:09,17.12,21.61,26.31,3.10,3.25,5.77,18.71,1.47,1020.26,15.73,21.94,27.26,7.09,8.38,8.47,19.45,55.16,1027.32,75.10,P; Tset = 10.80; Ttrue = NaN; T1 = 21.47; RH1 = 66.62; T2 = 21.27; RH2 = 66.75
2017.11.18_04:22:09,17.59,22.19,29.19,3.90,3.06,6.25,18.70,1.48,1020.27,17.65,20.64,27.78,6.77,8.30,9.18,19.42,55.10,1027.33,74.98,P; Tset = 12.00; Ttrue = NaN; T1 = 21.45; RH1 = 66.54; T2 = 21.25; RH2 = 66.62
2017.11.18_04:23:09,17.26,21.65,25.70,4.35,5.25,5.61,18.70,1.49,1020.27,18.21,20.60,27.09,6.57,8.41,8.29,19.42,55.06,1027.33,74.82,P; Tset = 13.00; Ttrue = NaN; T1 = 21.42; RH1 = 66.49; T2 = 21.24; RH2 = 66.53
2017.11.18_04:24:09,17.53,20.79,25.08,5.18,4.22,5.41,18.70,1.50,1020.26,20.42,20.53,27.56,6.81,8.44,8.06,19.42,55.03,1027.35,74.70,P; Tset = 14.00; Ttrue = NaN; T1 = 21.40; RH1 = 66.45; T2 = 21.23; RH2 = 66.46
2017.11.18_04:25:09,17.22,22.43,27.93,4.19,3.58,5.91,18.70,1.50,1020.25,17.52,21.90,27.08,6.67,8.16,8.30,19.40,54.98,1027.34,74.63,P; Tset = 15.00; Ttrue = NaN; T1 = 21.39; RH1 = 66.36; T2 = 21.22; RH2 = 66.38
2017.11.18_04:26:09,17.15,20.85,25.32,4.09,3.35,5.69,18.70,1.49,1020.26,17.97,21.75,27.08,7.07,8.74,8.43,19.40,54.89,1027.34,74.43,P; Tset = 16.00; Ttrue = NaN; T1 = 21.38; RH1 = 66.23; T2 = 21.21; RH2 = 66.25
2017.11.18_04:27:09,16.31,20.94,25.16,3.69,3.55,6.42,18.70,1.49,1020.25,17.18,21.57,27.82,6.66,8.17,8.81,19.40,54.77,1027.32,74.20,P; Tset = 17.00; Ttrue = NaN; T1 = 21.37; RH1 = 66.06; T2 = 21.20; RH2 = 66.09
2017.11.18_04:28:09,17.92,22.45,27.11,4.21,3.72,6.03,18.70,1.49,1020.25,17.84,21.17,26.22,7.15,9.08,8.55,19.40,54.62,1027.32,73.95,P; Tset = 18.00; Ttrue = NaN; T1 = 21.36; RH1 = 65.87; T2 = 21.18; RH2 = 65.93
2017.11.18_04:29:09,16.74,20.38,25.69,4.45,4.25,5.78,18.70,1.49,1020.23,18.97,21.37,28.22,6.80,7.60,7.97,19.40,54.45,1027.32,73.69,P; Tset = 18.80; Ttrue = NaN; T1 = 21.35; RH1 = 65.68; T2 = 21.17; RH2 = 65.75
