2017.11.23_07:44:57,19.46,21.52,24.10,4.83,4.21,6.48,21.31,3.70,974.94,29.56,37.93,46.66,17.01,16.78,18.83,22.37,66.98,982.05,86.98,N; Tset = 10.00; Ttrue = 0012.6; T1 = 24.66; RH1 = 67.40; T2 = 23.94; RH2 = 82.05
2017.11.23_07:45:57,18.75,23.24,26.51,4.42,5.11,6.50,22.05,3.84,1008.58,31.07,36.01,41.13,11.79,14.13,13.98,23.13,51.85,1015.94,58.98,N; Tset = 10.00; Ttrue = 0013.0; T1 = 25.44; RH1 = 48.21; T2 = 24.68; RH2 = 57.04
2017.11.23_07:47:05,19.26,22.99,27.01,4.45,3.87,6.15,22.05,3.86,1008.60,30.95,35.29,43.30,12.39,13.01,14.12,23.12,46.41,1015.94,53.15,N; Tset = 10.80; Ttrue = 0013.3; T1 = 25.38; RH1 = 45.31; T2 = 24.66; RH2 = 49.59
2017.11.23_07:48:17,18.64,23.33,26.55,4.52,3.80,6.38,22.05,3.88,1008.63,33.28,36.27,46.83,11.13,13.89,13.92,23.11,43.90,1015.97,51.71,N; Tset = 12.00; Ttrue = 0013.5; T1 = 25.32; RH1 = 44.73; T2 = 24.64; RH2 = 47.75
2017.11.23_07:49:27,19.82,23.90,26.86,4.95,4.00,6.04,22.05,3.88,1008.67,32.94,36.70,42.66,12.17,16.26,14.41,23.11,42.50,1016.00,51.15,N; Tset = 13.00; Ttrue = 0012.7; T1 = 25.27; RH1 = 44.57; T2 = 24.62; RH2 = 47.11
2017.11.23_07:50:37,19.52,23.28,27.32,5.84,4.68,6.75,22.03,3.90,1008.70,30.54,35.72,43.82,11.69,13.37,13.99,23.11,40.71,1016.01,49.37,N; Tset = 14.00; Ttrue = 0013.4; T1 = 25.21; RH1 = 43.11; T2 = 24.59; RH2 = 45.63
2017.11.23_07:51:47,20.59,22.56,26.36,4.71,4.61,6.45,22.03,3.91,1008.67,35.54,35.17,42.84,13.08,14.11,13.55,23.09,39.98,1015.99,49.50,N; Tset = 15.00; Ttrue = 0015.0; T1 = 25.14; RH1 = 43.89; T2 = 24.56; RH2 = 45.20
2017.11.23_07:52:57,18.75,24.03,26.42,5.36,4.75,7.36,22.02,3.92,1008.67,34.59,35.25,41.45,11.55,12.78,13.69,23.09,41.36,1016.00,52.69,N; Tset = 16.00; Ttrue = 0015.6; T1 = 25.09; RH1 = 47.21; T2 = 24.55; RH2 = 47.80
2017.11.23_07:54:07,19.09,23.69,29.29,4.65,4.70,6.50,22.01,3.93,1008.67,37.41,38.72,42.59,12.23,13.42,13.55,23.09,42.45,1015.99,54.78,N; Tset = 17.00; Ttrue = 0016.6; T1 = 25.04; RH1 = 49.14; T2 = 24.53; RH2 = 49.80
2017.11.23_07:55:17,19.26,24.79,26.54,8.53,4.41,6.75,22.01,3.95,1008.67,33.38,40.11,50.12,13.54,13.88,13.91,23.09,43.78,1016.00,57.21,N; Tset = 18.00; Ttrue = 0017.8; T1 = 25.01; RH1 = 51.66; T2 = 24.53; RH2 = 51.81
2017.11.23_07:56:25,19.11,22.87,26.53,5.25,4.42,6.72,22.01,3.95,1008.66,37.86,42.93,47.16,14.57,14.57,14.66,23.09,45.74,1015.98,60.47,N; Tset = 18.80; Ttrue = 0018.6; T1 = 24.97; RH1 = 54.78; T2 = 24.53; RH2 = 54.68
2017.11.23_07:57:35,20.73,25.02,30.68,5.11,4.40,6.84,21.99,3.97,1008.65,37.05,43.76,45.15,11.74,13.83,14.05,23.09,47.47,1015.97,63.08,N; Tset = 19.80; Ttrue = 0019.4; T1 = 24.95; RH1 = 57.17; T2 = 24.52; RH2 = 57.11
2017.11.23_07:58:43,20.03,23.46,26.80,4.96,4.35,6.76,21.99,3.96,1008.65,29.80,31.00,37.17,11.48,13.20,12.89,23.09,49.22,1015.98,65.68,N; Tset = 20.60; Ttrue = 0020.3; T1 = 24.93; RH1 = 59.66; T2 = 24.52; RH2 = 59.40
2017.11.23_07:59:51,21.67,28.72,28.86,5.41,5.42,6.75,21.99,3.94,1008.67,26.87,31.90,39.52,11.22,13.18,13.69,23.09,51.24,1015.99,68.65,N; Tset = 21.40; Ttrue = 0021.1; T1 = 24.91; RH1 = 62.45; T2 = 24.52; RH2 = 62.07
