Sample File	E:\Data\2020winter\SMPS\pku2020winter\smps20201225.1.S80
Classifier Model	3080
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3772
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	Date	Start Time	Diameter Midpoint	 11.8	 12.2	 12.6	 13.1	 13.6	 14.1	 14.6	 15.1	 15.7	 16.3	 16.8	 17.5	 18.1	 18.8	 19.5	 20.2	 20.9	 21.7	 22.5	 23.3	 24.1	 25.0	 25.9	 26.9	 27.9	 28.9	 30.0	 31.1	 32.2	 33.4	 34.6	 35.9	 37.2	 38.5	 40.0	 41.4	 42.9	 44.5	 46.1	 47.8	 49.6	 51.4	 53.3	 55.2	 57.3	 59.4	 61.5	 63.8	 66.1	 68.5	 71.0	 73.7	 76.4	 79.1	 82.0	 85.1	 88.2	 91.4	 94.7	 98.2	101.8	105.5	109.4	113.4	117.6	121.9	126.3	131.0	135.8	140.7	145.9	151.2	156.8	162.5	168.5	174.7	181.1	187.7	194.6	201.7	209.1	216.7	224.7	232.9	241.4	250.3	259.5	269.0	278.8	289.0	299.6	310.6	322.0	333.8	346.0	358.7	371.8	385.4	399.5	414.2	429.4	445.1	461.4	478.3	495.8	514.0	532.8	552.3	572.5	593.5	Scan Up Time(s)	Retrace Time(s)	Down Scan First	Scans Per Sample	Impactor Type(cm)	Sheath Flow(lpm)	Aerosol Flow(lpm)	CPC Inlet Flow(lpm)	CPC Sample Flow(lpm)	Low Voltage	High Voltage	Lower Size(nm)	Upper Size(nm)	Density(g/cc)	Title	Status Flag	td(s)	tf(s)	D50(nm)	Median(nm)	Mean(nm)	Geo. Mean(nm)	Mode(nm)	Geo. Std. Dev.	Total Conc.(#/cm3)	Comment
1	12/25/20	15:55:00		0	0	0	0	0	0	0	0	861.207	4184.26	4501.08	7495.76	8104.81	9632.71	8446.4	8310.83	8098.95	7987.02	8933.66	7457.03	9180.84	8200.71	9847.1	8003.75	10029.1	10315.4	10996.5	10121.4	9343.57	10328.3	9491.93	9864.3	9343.67	9833.85	8519.46	9722.95	9312.73	9059.41	9069.81	9492.27	9975.74	10804.2	9223.25	10954.1	11048.8	12109.8	12472	12347.1	13800.3	13530.5	13817.4	13957.4	14951	16044.8	16021.7	17183.8	17661.4	17888.8	18311.2	17994.3	17693.7	17940.5	18178.7	17562.5	16464.8	16470.6	15257.6	14738.2	13844.4	13121.1	12166.5	11202.8	10438.1	9640.89	9101.9	8365.51	7916.57	6712.08	5911.37	5340.45	5189.01	4726.79	4036.82	3645.44	3088.24	2723.29	2122.84	2122.29	1673.15	1827.36	1691.48	1188.43	1000.47	1171.1	1068.99	882.669	736.393	733.967	768.893	648.629	711.444	389.253	358.832	403.215	299.954	304.105	323.442	273.403	111.804	208.043	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	75.9593	88.9375	68.9572	94.7464	2.07734	13229.5	
2	12/25/20	16:00:00		824.873	348.011	0	0	0	0	0	0	7492.14	9620.89	14628.2	18748.1	26231.1	27707	27052.5	25715.8	22818.4	20102.8	21165.3	20729.2	21071.3	18470.1	21568.4	20717.6	21157.7	17958.2	18493.7	17947.3	17602.8	16581.2	16389	14255.8	14695	14244.6	13008.2	13531.3	12510.2	12586.8	12656.3	12936.8	12293.1	11765.4	11778.3	12312.3	12298.8	12343.9	12196.3	12674	13825.4	13778	13286.6	14428.1	16129.9	16213	16279.5	17743.6	17344.8	18792.5	18459.3	18803.3	18639.7	18587.1	18606	17988.6	17627.8	17146.7	14795.4	15049.9	14934.8	13534.2	12532.4	11905.2	10329.3	9556.86	9329.97	8229.59	7694.94	7295.26	6836.29	5104.38	4934.83	3890.08	3756.24	3203.17	3202.48	2613.86	2527.75	2708.05	2200.94	1922.3	1872.43	1555.61	1231.63	1196.31	1154.15	875.027	851.838	520.127	641.017	584.863	369.565	465.898	300.611	341.685	241.15	230.347	289.818	198.148	130.439	166.434	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	50.2345	72.583	52.8907	18.7688	2.2015	18190.8	
3	12/25/20	16:05:00		0	696.023	0	0	0	0	0	508.474	5661.89	6501.91	10819.6	13969.8	12708.8	13043.1	14122.9	12534.8	15156.7	14948.2	14962.7	13437.7	12921.2	14521.6	13140.1	12229	14303.8	14316.1	13723.3	14297.9	13427	13417.3	13746.5	11929.2	12285.4	12724.6	12495.4	12029.9	11790.2	11904.5	11424.6	11302.8	11005.8	11686.7	12080.7	12227.2	11562	12263.7	13220.1	13044.8	13669.1	15263.9	14830.8	14596.6	15861.8	16941.1	17936.8	18088	17478	18190.2	18710.5	18030.5	18915.1	19278.5	18663.6	19422.2	18052	17623.8	16868.1	16236.1	15015	14624.1	13051.9	12242.6	11351.4	9469.92	9578.03	8288.04	7472.88	7280.64	5813.08	6033.65	5307.72	4518.06	4047.75	3267.4	3349.24	2700.2	2790.29	2296.04	2101.1	1494.96	1498.13	1509.86	1117.98	1074.71	1052.28	770.545	1049.91	702.421	690.65	699.1	465.753	382.208	264.612	232.009	285.424	248.19	287.377	236.949	260.877	151.304	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	65.4393	81.0786	61.0343	113.419	2.14889	15841	
4	12/25/20	16:10:00		0	696.023	0	0	0	0	0	1977.4	7615.28	11443.7	15796.9	19934	17186.7	16489.9	18055.9	14880.8	14464.1	13232.1	10136.3	11430.4	10574.6	12110.3	10099.3	10447.1	12242.7	14646.3	11398.2	11939.1	13269.4	11702.6	13809.8	11004.1	12026	10967.2	10473.7	11148.7	11526.6	11192.7	11178.1	11400.4	11092.6	11344.6	11918.9	12135.7	12219.1	12478.8	12911.9	13051.8	13197	13578.5	14607.3	14519.1	15554.7	15469	16325.2	17345.9	17911.3	18350.2	18024.5	17881.3	18656	17688.8	18614.9	18606.5	18426.9	18029	16853.4	15350.9	15487.8	14291.6	13293.9	11990.6	11740.9	10410.4	9079.84	9387.73	7693.01	6962.07	6319.74	5292.93	4775.47	4248.71	3872.91	3774.89	3558.65	2685.71	2705.66	2340.25	1788.44	1685.93	1698.39	1355.85	1341.25	1193.27	1135.49	1227.99	700.547	622.447	482.423	542.012	324.226	393.042	424.527	528.25	237.29	324.83	233.47	236.949	146.412	172.917	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	64.7772	80.8181	60.0115	17.4658	2.19769	15708.6	
5	12/25/20	16:15:00		0	348.011	0	0	0	0	0	1981.75	8410.92	11334.3	15688.5	16476.9	20778.5	22963.2	22945.5	22760.7	21729.2	21696.5	17936	13662.4	12638.6	14288.5	13202.5	13293.8	11999.8	15080	14585.2	16080.2	14864.8	14814	15317.4	15648.3	16875.2	16927.2	18448.3	17106.2	15313	14683.1	15046.1	15713	14489.1	13766.8	14785.2	14754.2	13412.6	14438.7	14813.7	15111.3	14847.4	14937.5	14992	15305.8	15681	16939.4	18242.6	18182.2	18352.2	18808.6	17982.1	18986	19243	19117	18894.4	18523.3	17671.1	17404.6	16081.8	14975.4	14466.3	13941.9	13288	11962.7	11806	9801.61	9554.68	8024.11	8149.43	6850.55	6372.71	5410.38	5122.37	4264.24	4181.42	3585.62	2980.89	2748.02	2812.43	2343.79	2261.21	1592.63	1631.45	1615.32	997.327	1304.15	1080.51	870.721	840.298	828.787	719.26	659.215	489.451	438.612	358.832	410.894	529.461	292.274	199.847	271.296	167.46	124.826	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	55.5604	75.4408	55.8615	18.7688	2.17172	17917.6	
6	12/25/20	16:20:00		0	0	0	0	0	0	0	2129.51	5056.28	6479.92	10040.6	13383.4	15830.8	18491.5	19065.3	19313.3	17073.6	16922.2	19611.1	17060.2	18648.7	19465.1	20438.5	21814.6	21340.4	20534.7	18663.2	17675.7	18102	16169.7	16552.5	16547.9	15724.5	14781	15648.7	13714.5	15443.9	13941.5	13334	14288.3	14221.2	14516.9	13684.1	14786.3	13382.6	14495.2	14293.1	14166.5	15173	15171.6	15289	15927.5	16443.5	16589.3	16587.8	17897.9	17956.2	19254.8	19013.1	19717.1	19888.3	18948.4	18156.4	18673	18019.4	17012.6	16677.2	16025.8	14938.2	13450	13428.3	12522.7	11488.3	10796.3	10478.8	8868.86	8360.65	7698.86	6389.52	5889.35	5403.31	4658.44	4189.55	4286.36	3475.82	3408.29	2642.76	2062.85	2210.03	2001.08	1733.45	1544.43	1258.5	1307.11	933.804	976.521	1054.17	574.819	720.893	686.969	658.601	466.61	401.289	326.325	204.659	336.66	252.723	217.79	220.702	222.091	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	56.0423	76.4028	56.8617	26.896	2.15009	18093.8	
7	12/25/20	16:25:00		824.873	0	0	0	0	0	0	508.474	5034.52	9357.46	12745.4	18564.3	16841.7	18024.3	19907.6	22239.8	18095.1	20575.5	23811.5	21126.6	24286.1	23857.9	26073.9	25582.4	25471.5	23251.6	23386.2	23035.3	23014.5	22718.8	22072.6	21001.8	20362.1	19026.1	19527.7	20829.3	19151.5	17749.9	18252.8	17015.8	16641.6	16617.4	16528.7	16661.1	17292.3	17003.4	16126.2	16530.3	16552.2	17835.6	17246.7	17454.6	18331.8	18895.3	18463.6	18862.3	19486.7	20279.8	20772.7	19654.4	19990.9	21351.6	20678.7	21342	20341.5	19470.8	18959.6	17221.5	17416.5	17009.9	15282.8	14354.5	12462.7	12289.4	11207.8	10223.3	9102.5	8557.93	8022.52	6995.83	6052.38	5376.55	4659.82	4508.02	3916.91	3431.73	3264.98	2424.78	2363.35	1886.88	1698.39	1666.41	1464.59	1151.06	1320.28	1203.76	894.365	1014.97	832.542	759.056	561.825	538.042	500.389	456.551	362.617	354.504	269.408	236.949	295.485	248.569	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	52.5351	74.5854	55.5076	25.9455	2.13681	21196.2	
8	12/25/20	16:30:00		412.436	0	0	0	0	0	0	304.216	4490.36	6381.27	8677.11	15908.2	14554.2	16669.1	20172.1	20187.3	21775	23104.8	20256.9	20437.7	20841.6	20716.7	18848.6	19786.4	21017.3	20294	20833.7	22134.2	21156.9	21885.2	20650.9	21397.8	20980.3	19749.5	19160.5	19838.2	19068.6	19674.7	18832.7	17824.9	17495.8	16769.9	16936.2	16656.4	17237.7	15718.5	16708.9	16846.6	17339.3	17269	17583.6	18124.3	18157.3	19084.6	18703.8	20261.8	20387.7	21583.5	20417.2	21274.6	21807.3	21565.2	20084	20943.4	19342.2	18953.3	18466.4	17826.9	17729.5	16465.1	16088	15254.7	13361.6	14001.6	12803.5	11039.8	10652.6	10909.5	9088.14	8045.03	7344.5	6232.01	5650.56	4878.43	4211.24	3979.26	3638.57	3305.59	2864.56	2220.88	2100.71	2151.23	1634.15	1339.41	1233.38	1130.44	1182.36	938.271	992.769	768.541	791.973	544.374	539.391	511.129	416.46	354.504	218.973	397.711	204.728	238.303	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	56.677	78.4556	58.4651	21.6739	2.14398	20922.2	
9	12/25/20	16:35:00		0	348.011	0	0	0	0	0	152.108	2731.13	5414.81	6816.12	8819.46	10693.8	14837.4	17408.2	14506.5	17751.1	20304.4	21326.3	24417.3	24741.5	25211.7	27350.7	26504.6	31304.8	29221	30719.4	30632.4	29014	29361.5	27077.3	28784.5	29042.5	27649.2	27333.8	28229.9	28009.6	26605.5	25717.8	27348.1	24470.4	26495.7	25358.1	23712.3	23566	24622.1	24000.4	23599	22951.7	23174	21648.9	21654	22903.2	23453.9	21832.3	22293.1	22613.4	22810.4	23819.3	24436.9	24836.5	23663.8	23906	23231.5	22391.7	23998.1	21691.9	22783.1	21410.6	21193.3	19667.4	17419.8	16913.7	15883.6	14606.6	13868.3	13438.2	10545.9	10210.2	8881.1	8750.98	7298.92	6270.19	5306.97	5545.16	4732.73	4286.98	3545.32	2969.73	2626.96	2624.9	2044.04	2086.95	1635.46	1603.49	1523.18	1421.14	1220.08	882.283	769.323	767.519	692.757	649.982	589.265	329.698	354.629	398.537	288.349	257.97	154.004	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	55.6617	77.6766	59.2503	27.8813	2.06274	25577.7	
